field 0°	n_s 0°		                n_s_error 0°		        field 90°	n_s 90°				n_s_error 90°	
0		29960367.4791144		198.310888236327		0		29962173.3129533		212.793952222468	
0.005		29964328.7115943		197.658951222721		0.005		29961605.0660143		222.347491480983	
0.01		29960886.0436052		220.1610777313			0.01		29958761.560342			279.93995068195	
0.015		29958182.8149059		205.693270791587		0.015		29959892.9572035		375.413523965443	
0.02		29954915.278371			214.790593676113		0.02		29948943.4325019		258.106996120764	
0.025		29947148.4445586		202.484594388741		0.025		29942754.0305351		198.871988591375	
0.03		29938983.7987316		194.214456324465		0.03		29934018.0777355		208.109737992292	
0.035		29927334.3380027		205.797730905893		0.035		29918700.822718			250.091963776883	
0.04		29911948.0623876		245.389540022659		0.04		29899545.9362826		289.669358399451	
0.045		29887366.7086239		255.276800154263		0.045		29874130.660241			245.535190317635	
0.05		29859111.2306803		366.295717223472		0.05		29840481.5496111		477.130427350528	
0.055		29834328.8055203		307.294858143708		0.055		29820169.45584			375.223343981219	
0.06		29807765.5100337		312.241031433551		0.06		29790616.7311137		437.384637973686	
0.065		29784483.5145802		373.983308084866		0.065		29740606.8561931		748.587384897183	
0.07		29747658.1664559		600.501448341992		0.07		29710123.8017768		1067.45000423167	
0.075		29696310.7234885		1328.08809959234		0.075		29693992.057345			889.071899169833	
0.08		29674091.6506946		3062.7027354761			0.08		29670969.3591004		2145.03148120418	
0.085		29679033.3320224		1817.24753479386		0.085		29658031.7417879		2065.77518891102	
0.09		29647734.7659199		1846.41448095701		0.09		29618143.7956569		2499.94734687516	
0.095		29633295.4211079		2187.78567087664		0.095		29608343.5365378		2386.03349107451	
0.1		29615835.479763			2217.27717074245		0.1		29571556.3167762		2267.42598789199	
0.105		29588673.1129452		2135.38574633871		0.105		29552821.1401919		2088.29380844928	
0.11		29567697.1708679		2042.09190101863		0.11		29540335.7245469		2052.2133144449	
0.115		29539647.2321458		1940.3517288348			0.115		29518843.1616502		2088.45183260026	
0.12		29526451.2098466		1754.0728260062			0.12		29507418.4663803		1893.56694922807	
0.125		29512999.4159319		1666.1997953735			0.125		29504408.3459958		1954.22853623944	
0.13		29503712.5134727		1409.81739699312		0.13		29494767.5575775		1606.71618058389	
0.135		29502750.7274222		1413.57585560277		0.135		29486028.8987937		1603.99498181988	
0.14		29503569.0385519		1478.97119505259		0.14		29491725.1208621		1408.6048963502	
0.145		29495560.3763462		1333.98765061797		0.145		29484216.8545512		1428.48844835929	
0.15		29494004.3853384		1290.18915610323		0.15		29475850.5331348		1512.70785765247	
0.155		29485541.3130999		1445.53352542359		0.155		29479197.6666435		1304.25208538415	
0.16		29485357.9481661		1174.51596111622		0.16		29480543.4468461		1220.18460106864	
0.165		29464519.5663152		2083.8015591527			0.165		29475597.5248541		1118.50900881315	
0.17		29488901.8009767		1128.37903218995		0.17		29459742.1035677		1354.3090838363	
0.175		29484857.2524158		1095.62026363384		0.175		29461677.284413			1570.51720965055	
0.18		29465649.7990693		1436.19049913035		0.18		29455858.0768777		2063.30240641001	
0.185		29490468.055006			1121.51331915086		0.185		29466739.3044511		1120.23719632427	
0.19		29474142.1521935		1027.99199893599		0.19		29456045.3142744		1244.84772559343	
0.195		29478756.5331094		1022.9545827537			0.195		29461825.0504001		1001.91796034563	
0.2		29485067.4749632		1031.12245015502		0.2		29449754.4995011		2100.97164294274	
0.205		29479821.9024916		1061.56982203433		0.205		29459265.3479809		1082.62971128532	
0.21		29480303.9416103		1002.14220904242		0.21		29456305.3391945		1132.80366566409	
0.215		29481754.3123925		988.096153293755		0.215		29453991.2406635		1115.18002763407	
0.22		29485602.0262028		978.209193736503		0.22		29454297.0925347		965.922439152274	
0.225		29482411.8535581		980.206907768735		0.225		29457286.277696			974.156768931616	
0.23		29477743.6562549		951.024880050894		0.23		29449690.1994938		1403.8954172378	
0.235		29484127.6673698		984.298988523911		0.235		29450308.4354148		1087.23833824823	
0.24		29476944.6517139		1197.94132857982		0.24		29453260.7352768		1040.34101157718	
0.245		29476342.4972082		1045.75656047602		0.25		29447810.3584854		1059.77597083113	
0.25		29464252.0580682		1267.64025204139		0.27		29420188.648047			1129.14305949816	
0.25		29479581.3549075		1076.48136614816		0.29		29419559.44588			946.13912058787	
0.27		29479712.1794999		1088.84847637487		0.31		29408087.8850137		1145.45898587003	
0.29		29466584.797481			1038.72600771133		0.33		29410568.3244252		939.961889067206	
0.31		29459723.3833328		950.592390704438		0.35		29391927.1484883		913.682340572507	
0.33		29447912.6117091		979.505551016879		0.37		29379776.4791011		963.419817665983	
0.35		29448804.912862			986.012057330452		0.39		29361150.9436399		1004.84996873729	
0.37		29440685.2668755		998.395103537928		0.41		29355326.2876034		855.962627864966	
0.39		29433894.7236937		1070.93666508834		0.43		29341625.9431			950.918190985378	
0.41		29421431.5173609		929.163081952521		0.45		29326797.411041			887.663919272179	
0.43		29413581.0050492		989.650960031335		0.47		29304378.3794369		845.203590790192	
0.45		29407244.8663553		952.009868201766		0.49		29292728.4833878		891.582319059482	
0.47		29393196.8495351		940.388686366192		0.51		29267523.7092618		915.676609043225	
0.49		29384751.8682466		1035.90566354547		0.53		29242145.1703243		976.415483009575	
0.51		29375753.8047162		1023.76390913562		0.55		29238421.4554725		870.471760211371	
0.53		29369461.6763099		999.277737288385							
0.55		29350838.8680298		1024.5554147187							
