angle [°]	n_s 0°				n_s_error 0°			n_s 45°				n_s_error 45°			n_s 90°				n_s_error 90°
0		21348589.9937343		550.541136950539		29857902.3649662		6340.51036521106		27219158.6130425		769.259588311184
15		21345638.2659561		502.788122692458		29885766.0734243		5390.97791584348		27226194.1809126		811.52316490167
30		21330512.3890746		474.650716123547		29905178.4074601		3749.9159740672			27234103.4585676		742.239079047185
45		21309430.9440931		297.774867935129		29905596.3115649		3511.34062314725		27249345.2090227		737.34204821202
60		21282103.6618602		186.215557723659		29898403.8971428		3742.86421171296		27258815.598992			758.053360343498
75		21257534.0464086		450.864648156383		29875675.3697409		4306.10235062302		27267929.6546547		649.932059762349
90		21246222.4222621		278.215768605587		29844152.0051264		6113.72527052297		27270881.5478297		546.832133410539
105		21258834.5899833		163.889496446335		29816023.3086645		7744.29243970306		27269270.4753241		555.325907390289
120		21279455.8690893		357.004996077327		29803512.6370301		12297.8247552025		27261652.1372278		656.156586066441
135		21307100.8482698		558.031573604422		29802471.1792081		10228.7854217562		27251225.4066646		644.81545646869
150		21328286.6846732		854.082459548366		29798517.4820711		9243.67245342547		27236237.1603148		690.492850286324
165		21345720.3451234		677.127121963923		29814266.9171089		8065.48637302172		27230431.5519863		811.191437872145
180		21348701.6902729		601.630693910834		29854097.7799058		5657.97956099806		27223280.305085			709.814641963664
195		21344047.8897886		572.638271151238		29884811.7490851		4810.44508200232		27219756.5132281		810.906480796878
210		21329317.2745674		470.786554683837		29906246.7100866		3766.63738413692		27232753.2204876		697.876085650103
225		21309312.0488947		392.154655729247		29908134.1080133		3164.93805206165		27245587.0899857		580.326714193431
240		21282059.9502368		242.974116094795		29899173.7773585		3673.85080195177		27258777.5535918		705.072611249372
255		21260591.8272166		186.845585929492		29872779.0774455		4441.07806983789		27268794.9787492		619.850754110336
270		21246467.229026			243.800418317681		29846060.4287194		5278.97828399794		27271365.8211611		518.296549315633
285		21256067.3549422		173.12713281814			29816547.662371			8449.98092004765		27267776.5405578		630.761659203099
300		21283693.433148			173.969592740434		29818438.9994591		3232.91333215262		27263670.3417728		542.380769828066
305		21287675.5470156		140.529920695921		29814912.4228994		4615.37939383124		27257888.2861775		576.202574346038
307.5		21294927.6355789		157.26025029893			29810503.6596127		4130.67739776794		27257856.7121054		608.213570342044
310		21298331.8835377		196.185975247179		29815467.3735696		5062.66513431982		27254430.8998998		558.959816364091
312.5		21303066.8784177		216.916667906592		29811723.6385747		4395.20763998096		27252426.4708059		634.946673147762
315		21306173.8948185		291.282342502885		29808928.0265587		4104.58688480231		27252597.1394472		611.410251499085
317.5		21308811.4290554		341.247703791371		29808214.1154334		4270.74168476949		27245047.6317593		642.6087982036
320		21318066.740534			208.250807044593		29810007.9452106		3872.99510079223		27247182.384349			653.001179093649
330		21326556.5751571		356.180094501661		29819402.5588314		2609.784804299			27234558.302931			762.043963692658
360		21346881.0562626		80.4971955196			29859769.2478927		4322.28596063106		27217656.6006913		788.365542744701
