field 0°	n_s 0°				n_s_error 0°			field 90°	n_s 90°				n_s_error 90°
0		21363413.3830789		557.339740300895		0		21361736.8916913		374.046110981071
0.005		21359809.224302			519.360320483486		0.005		21359471.3893382		368.454071566148
0.01		21362257.6997977		365.569359586449		0.01		21358543.1228227		224.333745038383
0.015		21365162.0607985		446.494052037576		0.015		21353706.696556			298.667186058355
0.02		21361578.1179958		638.676299086567		0.02		21350894.4645901		269.446409402627
0.025		21362387.3377619		377.779410500498		0.025		21343584.3401893		201.641758913848
0.03		21358693.0998863		312.827232991107		0.03		21332698.611238			253.535117759457
0.035		21360822.4360214		363.655411172883		0.035		21317256.0392968		612.065623004038
0.04		21356866.0779042		373.955165836542		0.04		21298298.0311614		471.04384044853
0.045		21352830.2412278		483.723334596575		0.045		21273646.4029555		522.074748894601
0.05		21347908.5211765		658.998701920146		0.05		21246726.114739			253.147459627573
0.055		21343888.650494			271.873687745325		0.055		21206606.2718131		422.019436890587
0.06		21338452.9951791		461.069767685712		0.06		21165594.5712631		786.634397776265
0.065		21334510.0958653		226.492095715916		0.065		21134567.3594393		1214.02128321031
0.07		21333654.701654			474.576427777081		0.07		21114573.7489549		1852.94634458867
0.075		21333619.8067543		324.538168603016		0.075		21054907.9759697		1995.56519381328
0.08		21328845.5127218		689.31551031858			0.08		21025224.5514645		1946.11273076759
0.085		21325058.9630399		451.967477606467		0.085		20942497.4219956		2211.75246179295
0.09		21322983.19972			656.738095164646		0.09		20929678.2323411		1832.14096142895
0.095		21321109.4140894		647.101101965105		0.095		20904186.0927879		1743.53174840472
0.1		21316957.8882524		332.849363072051		0.1		20937205.6678995		1703.90600135817
0.105		21317594.2898752		475.504745188948		0.105		20919331.0081446		1831.62035428362
0.11		21318923.8855215		354.359091953038		0.11		20914801.747938			1684.59547003948
0.115		21314899.0837053		635.733137077167		0.115		20925557.7886989		1418.85792326809
0.12		21315456.8447129		250.357947274133		0.12		20902827.1064756		1526.13850316343
0.125		21312116.6512261		538.582633125806		0.125		20905881.0284571		1406.92004306895
0.13		21310251.4729635		465.63213556828			0.13		20931204.1700322		1300.96128124149
0.135		21309906.840379			386.249814045493		0.135		20914055.4108571		1431.07843312839
0.14		21310063.1379874		244.569054014347		0.14		20941390.5655792		1315.25116959067
0.145		21306728.7476005		331.789949253595		0.145		20907164.8666059		1726.43190056625
0.15		21301515.891539			576.644428535698		0.15		20924499.8596184		1376.41337903807
0.155		21303344.3760005		231.434577929435		0.155		20928672.3169413		1455.40443057311
0.16		21302439.1055154		214.569745298869		0.16		20916618.8814638		1385.27204830622
0.165		21299879.2098178		748.256272787618		0.165		20943262.6791713		1046.3434775979
0.17		21298317.9315626		200.937752294542		0.17		20943606.9806225		1149.10952595431
0.175		21293880.6272598		270.412045129939		0.175		20926596.2664273		1280.17358481177
0.18		21296654.2922767		657.150861892725		0.18		20959423.4086363		1223.83657394928
0.185		21292506.9205518		743.380421610335		0.185		20948721.2398242		1046.0589099643
0.19		21289896.5161977		522.052998438842		0.19		20942411.579479			1068.82163281879
0.195		21290047.0815232		292.204223417463		0.195		20951581.1822182		968.617486404068
0.2		21287862.6237374		816.286474487336		0.2		20949545.0853956		931.75910513109
0.205		21286508.4332696		170.358925658434		0.205		20958901.8932492		1130.406772861
0.21		21283218.4792387		811.545921190463		0.21		20937959.7024478		1120.44308142943
0.215		21278793.2507922		313.866898082754		0.215		20928012.1140976		1505.03497808859
0.22		21282680.9497109		157.310639131854		0.22		20947367.9923055		979.504743792162
0.225		21277262.1625579		625.981034052597		0.225		20930101.3419833		1113.81826550536
0.23		21275864.4901836		154.645339402654		0.23		20963529.0677067		1013.7596579277
0.235		21272990.1831415		156.548178712733		0.235		20957104.9669522		946.702121328656
0.24		21271504.7946768		139.135153638599		0.24		20928490.1297457		892.147293267914
0.245		21266875.5571434		149.63409454573			0.25		20953831.2281132		743.764453235775
0.25		21267658.592851			123.003121532932		0.27		20948718.6379589		1833.45583569484
0.25		21267658.592851			123.003121532932		0.29		20946883.8667502		1327.29060465688
0.27		21258285.1841246		174.028909729506		0.31		20926952.1125671		1315.9025776218
0.29		21244870.8053922		430.500005807472		0.33		20932812.7080192		1700.94095421744
0.31		21231165.7844359		429.241341780658		0.35		20933875.040281			2102.25001712727
0.33		21223427.7987328		366.32090667038			0.37		20924536.7342781		2276.60470642935
0.35		21214442.6978822		657.610023694969		0.39		20923939.0528307		1765.05034355228
0.37		21198430.0115891		792.467577058867		0.41		20911890.8059967		2115.1739484299
0.39		21180800.9722827		567.026099492433		0.43		20917656.5157232		1929.28052085679
0.41		21161880.1033236		465.619031594481		0.45		20904874.2167912		2441.55686664844
0.43		21147900.500451			429.497162247538		0.47		20894674.7684241		2283.95382651059
0.45		21131363.1575446		328.659781481698		0.49		20893061.3663722		2794.38347392385
0.47		21107955.5302203		292.006097790804		0.51		20882316.6845977		2015.20063669532
0.49		21083272.169213			236.641322818828		0.53		20878527.1922166		2608.15319750318
0.51		21055250.4943551		205.960468073888		0.55		20870670.7385507		2341.88589566816
0.53		21027600.8506647		320.405674458968						
0.55		20996619.9549996		529.215299266767						
