field   0°   90°
0   0   -1.5018214831216E-15
0.005   1.28896206482988E-5   -3.19039293108754E-4
0.01	   -1.96762191199282E-4   -2.77560947064692E-4
0.015   -2.12263348607919E-4   -3.15262791860164E-4
0.02	   -3.32642513901643E-4   -2.26566704697108E-4
0.025   -5.26461042934149E-4   -4.0830534383353E-4
0.03   -8.30876058850324E-4   -3.1738899839316E-4
0.035   -0.00109730174059513   -4.92126039173113E-4
0.04	   -0.00164741317526088   -4.49407835330034E-4
0.045   -0.00201559142365152   -5.18012258312334E-4
0.05	   -0.00226421399533755   -6.52457060410745E-4
0.055   -0.00316552495206705   -8.89337156623035E-4
0.06	   -0.00370778387431949   -8.41549001294981E-4
0.065   -0.00423564940315966   -8.98476599094269E-4
0.07      -0.00116572807457411   
0.075      -0.00130846949747627   
0.08	      -0.00115232697720047   
0.085      -0.00146127891082179   
0.09	      -0.0013388321441348   
0.095      -0.00130908996997208   
0.1      -0.00141025324118712   
