	field 0°	n_s 0°	n_s_error 0°	field 90°	n_s 90°	n_s_error 90°	fit 0°	fit 90°
0	0.0	21363413.3830789	557.339740300895	0.0	21361736.8916913	374.046110981071	21363413.3830789	21361736.8916913
1	0.005	21359809.224302	519.360320483486	0.005	21359471.3893382	368.454071566148	21363184.736771	21358299.072475005
2	0.01	21362257.6997977	365.569359586449	0.01	21358543.1228227	224.333745038383	21362905.916370403	21354842.41532186
3	0.015	21365162.0607985	446.494052037576	0.015	21353706.696556	298.667186058355	21362502.69568004	21350036.508003503
4	0.02	21361578.1179958	638.676299086567	0.02	21350894.4645901	269.446409402627	21361752.396108724	21339890.113834877
5	0.025	21362387.3377619	377.779410500498	0.025	21343584.3401893	201.641758913848	21360951.9224447	21329724.881729398
6	0.03	21358693.0998863	312.827232991107	0.03	21332698.611238	253.535117759457	21359931.14920892	21316861.41926157
7	0.035	21360822.4360214	363.655411172883	0.035	21317256.0392968	612.065623004038	21358605.013661835	21299960.030218646
8	0.04	21356866.0779042	373.955165836542	0.04	21298298.0311614	471.04384044853	21357228.704022054	21283039.803238865
9	0.045	21352830.2412278	483.723334596575	0.045	21273646.4029555	522.074748894601	21355524.10482742	21262272.658485863
10	0.05	21347908.5211765	658.998701920146	0.05	21246726.114739	253.147459627573	21353583.921231978	21238934.622571763
11	0.055	21343888.650494	271.873687745325	0.055	21206606.2718131	422.019436890587	21351593.563543838	21215577.748720814
12	0.06	21338452.9951791	461.069767685712	0.06	21165594.5712631	786.634397776265	21349154.840983655	21189763.15562377
13	0.065	21334510.0958653	226.492095715916	0.065	21134567.3594393	1214.02128321031	21346566.396635935	21163320.004262567
14	0.07	21333654.701654	474.576427777081	0.07	21114573.7489549	1852.94634458867	21343927.778195523	21136858.014964513
15	0.075	21333619.8067543	324.538168603016	0.075	21054907.9759697	1995.56519381328	21341239.220969945	21111139.072607346
16	0.08	21328845.5127218	689.31551031858	0.08	21025224.5514645	1946.11273076759	21338500.489651673	21085401.29231333
17	0.085	21325058.9630399	451.967477606467	0.085	20942497.4219956	2211.75246179295	21335796.045475334	21060633.88453427
18	0.09	21322983.19972	656.738095164646	0.09	20929678.2323411	1832.14096142895	21333379.27214484	21039804.480625596
19	0.095	21321109.4140894	647.101101965105	0.095	20904186.0927879	1743.53174840472	21330912.324721646	21018956.238780066
20	0.1	21316957.8882524	332.849363072051	0.1	20937205.6678995	1703.90600135817	21328540.305255998	20999926.783478186
21	0.105	21317594.2898752	475.504745188948	0.105	20919331.0081446	1831.62035428362	21326335.76477302	20983634.926960208
22	0.11	21318923.8855215	354.359091953038	0.11	20914801.747938	1684.59547003948	21324081.050197337	20967324.23250537
23	0.115	21314899.0837053	635.733137077167	0.115	20925557.7886989	1418.85792326809	21321954.160547264	20953821.65801158
24	0.12	21315456.8447129	250.357947274133	0.12	20902827.1064756	1526.13850316343	21319895.762816694	20942184.884179544
25	0.125	21312116.6512261	538.582633125806	0.125	20905881.0284571	1406.92004306895	21317787.190993425	20930529.272410646
26	0.13	21310251.4729635	465.63213556828	0.13	20931204.1700322	1300.96128124149	21315777.868573576	20921808.97439105
27	0.135	21309906.840379	386.249814045493	0.135	20914055.4108571	1431.07843312839	21313755.72793506	20913808.376356136
28	0.14	21310063.1379874	244.569054014347	0.14	20941390.5655792	1315.25116959067	21311683.413203843	20905788.940384377
29	0.145	21306728.7476005	331.789949253595	0.145	20907164.8666059	1726.43190056625	21309715.697531838	20901125.03448904
30	0.15	21301515.891539	576.644428535698	0.15	20924499.8596184	1376.41337903807	21307697.80776713	20896442.29065685
31	0.155	21303344.3760005	231.434577929435	0.155	20928672.3169413	1455.40443057311	21305646.932323277	20892309.917583317
32	0.16	21302439.1055154	214.569745298869	0.16	20916618.8814638	1385.27204830622	21303614.636440936	20890435.541354954
33	0.165	21299879.2098178	748.256272787618	0.165	20943262.6791713	1046.3434775979	21301532.166465893	20888542.327189747
34	0.17	21298317.9315626	200.937752294542	0.17	20943606.9806225	1149.10952595431	21299435.09803313	20888017.16450264
35	0.175	21293880.6272598	270.412045129939	0.175	20926596.2664273	1280.17358481177	21297341.21896014	20889553.498001117
36	0.18	21296654.2922767	657.150861892725	0.18	20959423.4086363	1223.83657394928	21295197.165794447	20891070.993562743
37	0.185	21292506.9205518	743.380421610335	0.185	20948721.2398242	1046.0589099643	21293011.600699347	20894423.471308764
38	0.19	21289896.5161977	522.052998438842	0.19	20942411.579479	1068.82163281879	21290781.63628707	20898992.99119876
39	0.195	21290047.0815232	292.204223417463	0.195	20951581.1822182	968.617486404068	21288501.497782096	20903543.673151903
40	0.2	21287862.6237374	816.286474487336	0.2	20949545.0853956	931.75910513109	21286264.55758433	20908874.015751142
41	0.205	21286508.4332696	170.358925658434	0.205	20958901.8932492	1130.406772861	21284000.786393836	20914385.145059258
42	0.21	21283218.4792387	811.545921190463	0.21	20937959.7024478	1120.44308142943	21281686.841110647	20919877.436430525
43	0.215	21278793.2507922	313.866898082754	0.215	20928012.1140976	1505.03497808859	21279330.962088905	20924122.20929547
44	0.22	21282680.9497109	157.310639131854	0.22	20947367.9923055	979.504743792162	21276924.90897447	20928348.144223567
45	0.225	21277262.1625579	625.981034052597	0.225	20930101.3419833	1113.81826550536	21274468.68176733	20932555.241214808
46	0.23	21275864.4901836	154.645339402654	0.23	20963529.0677067	1013.7596579277	21271962.28046749	20936743.500269197
47	0.235	21272990.1831415	156.548178712733	0.235	20957104.9669522	946.702121328656	21269405.70507496	20940912.921386737
48	0.24	21271504.7946768	139.135153638599	0.24	20928490.1297457	892.147293267914	21266798.955589723	20945063.504567422
49	0.245	21266875.5571434	149.63409454573	0.25	20953831.2281132	743.764453235775	21264230.990428068	20949036.269332778
50	0.25	21267658.592851	123.003121532932	0.27	20948718.6379589	1833.45583569484	21261612.85117372	20956755.74362126
51	0.25	21267658.592851	123.003121532932	0.29	20946883.8667502	1327.29060465688	21261612.85117372	20956812.284717962
52	0.27	21258285.1841246	174.028909729506	0.31	20926952.1125671	1315.9025776218	21250638.553229325	20952808.9894484
53	0.29	21244870.8053922	430.500005807472	0.33	20932812.7080192	1700.94095421744	21238802.29958186	20944745.857812576
54	0.31	21231165.7844359	429.241341780658	0.35	20933875.040281	2102.25001712727	21226081.530834056	20939385.609582707
55	0.33	21223427.7987328	366.32090667038	0.37	20924536.7342781	2276.60470642935	21212476.24698592	20933888.893525183
56	0.35	21214442.6978822	657.610023694969	0.39	20923939.0528307	1765.05034355228	21199087.90301941	20928255.70964001
57	0.37	21198430.0115891	792.467577058867	0.41	20911890.8059967	2115.1739484299	21185115.73588069	20922411.554315545
58	0.39	21180800.9722827	567.026099492433	0.43	20917656.5157232	1929.28052085679	21170559.74556977	20916173.999767274
59	0.41	21161880.1033236	465.619031594481	0.45	20904874.2167912	2441.55686664844	21155633.73527983	20909543.045995194
60	0.43	21147900.500451	429.497162247538	0.47	20894674.7684241	2283.95382651059	21139340.089819845	20902610.685233478
61	0.45	21131363.1575446	328.659781481698	0.49	20893061.3663722	2794.38347392385	21121678.809189823	20895376.91748212
62	0.47	21107955.5302203	292.006097790804	0.51	20882316.6845977	2015.20063669532	21103214.743076615	20887841.74274112
63	0.49	21083272.169213	236.641322818828	0.53	20878527.1922166	2608.15319750318	21083947.891480222	20880005.16101048
64	0.51	21055250.4943551	205.960468073888	0.55	20870670.7385507	2341.88589566816	21063878.254400652	20871867.172290202
65	0.53	21027600.8506647	320.405674458968				21043005.831837896	
66	0.55	20996619.9549996	529.215299266767				21021330.623791955	
